Problem Number,Problem Name,LeetCode Link,Difficulty,Category
198,House Robber,https://leetcode.com/problems/house-robber/,Medium,Dynamic Programming
64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,Dynamic Programming
1143,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,Medium,Dynamic Programming
300,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,Medium,Dynamic Programming
139,Word Break,https://leetcode.com/problems/word-break/,Medium,Dynamic Programming
1140,Stone Game II,https://leetcode.com/problems/stone-game-ii/,Medium,Dynamic Programming
1289,Minimum Falling Path Sum II,https://leetcode.com/problems/minimum-falling-path-sum-ii/,Hard,Dynamic Programming
647,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings/,Medium,Dynamic Programming
91,Decode Ways,https://leetcode.com/problems/decode-ways/,Medium,Dynamic Programming
576,Out of Boundary Paths,https://leetcode.com/problems/out-of-boundary-paths/,Medium,Dynamic Programming
368,Largest Divisible Subset,https://leetcode.com/problems/largest-divisible-subset/,Medium,Dynamic Programming
2370,Longest Ideal Subsequence,https://leetcode.com/problems/longest-ideal-subsequence/,Medium,Dynamic Programming
516,Longest Palindromic Subsequence,https://leetcode.com/problems/longest-palindromic-subsequence/,Medium,Dynamic Programming
279,Perfect Squares,https://leetcode.com/problems/perfect-squares/,Medium,Dynamic Programming
1406,Stone Game III,https://leetcode.com/problems/stone-game-iii/,Hard,Dynamic Programming
2707,Extra Characters in a String,https://leetcode.com/problems/extra-characters-in-a-string/,Medium,Dynamic Programming
494,Target Sum,https://leetcode.com/problems/target-sum/,Medium,Dynamic Programming
377,Combination Sum IV,https://leetcode.com/problems/combination-sum-iv/,Medium,Dynamic Programming
1155,Number of Dice Rolls With Target Sum,https://leetcode.com/problems/number-of-dice-rolls-with-target-sum/,Medium,Dynamic Programming
435,Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,Medium,Dynamic Programming
2369,Check if There is a Valid Partition For The Array,https://leetcode.com/problems/check-if-there-is-a-valid-partition-for-the-array/,Medium,Dynamic Programming
2054,Two Best Non-Overlapping Events,https://leetcode.com/problems/two-best-non-overlapping-events/,Medium,Dynamic Programming
983,Minimum Cost For Tickets,https://leetcode.com/problems/minimum-cost-for-tickets/,Medium,Dynamic Programming
3186,Maximum Total Damage With Spell Casting,https://leetcode.com/problems/maximum-total-damage-with-spell-casting/,Medium,Dynamic Programming
3040,Maximum Number of Operations With the Same Score II,https://leetcode.com/problems/maximum-number-of-operations-with-the-same-score-ii/,Medium,Dynamic Programming
1043,Partition Array for Maximum Sum,https://leetcode.com/problems/partition-array-for-maximum-sum/,Medium,Dynamic Programming
3366,Minimum Array Sum,https://leetcode.com/problems/minimum-array-sum/,Medium,Dynamic Programming
688,Knight Probability in Chessboard,https://leetcode.com/problems/knight-probability-in-chessboard/,Medium,Dynamic Programming
2140,Solving Questions With Brainpower,https://leetcode.com/problems/solving-questions-with-brainpower/,Medium,Dynamic Programming
1035,Uncrossed Lines,https://leetcode.com/problems/uncrossed-lines/,Medium,Dynamic Programming
1218,Longest Arithmetic Subsequence of Given Difference,https://leetcode.com/problems/longest-arithmetic-subsequence-of-given-difference/,Medium,Dynamic Programming
486,Predict the Winner,https://leetcode.com/problems/predict-the-winner/,Medium,Dynamic Programming
2466,Count Ways To Build Good Strings,https://leetcode.com/problems/count-ways-to-build-good-strings/,Medium,Dynamic Programming
3122,Minimum Number of Operations to Satisfy Conditions,https://leetcode.com/problems/minimum-number-of-operations-to-satisfy-conditions/,Medium,Dynamic Programming
3349,Adjacent Increasing Subarrays Detection I,https://leetcode.com/problems/adjacent-increasing-subarrays-detection-i/,Easy,Dynamic Programming
3350,Adjacent Increasing Subarrays Detection II,https://leetcode.com/problems/adjacent-increasing-subarrays-detection-ii/,Medium,Dynamic Programming
3201,Find the Maximum Length of Valid Subsequence I,https://leetcode.com/problems/find-the-maximum-length-of-valid-subsequence-i/,Medium,Dynamic Programming
3202,Find the Maximum Length of Valid Subsequence II,https://leetcode.com/problems/find-the-maximum-length-of-valid-subsequence-ii/,Medium,Dynamic Programming
3179,Find the N-th Value After K Seconds,https://leetcode.com/problems/find-the-n-th-value-after-k-seconds/,Medium,Dynamic Programming
3181,Maximum Total Reward Using Operations II,https://leetcode.com/problems/maximum-total-reward-using-operations-ii/,Hard,Dynamic Programming
3180,Maximum Total Reward Using Operations I,https://leetcode.com/problems/maximum-total-reward-using-operations-i/,Medium,Dynamic Programming
678,Valid Parenthesis String,https://leetcode.com/problems/valid-parenthesis-string/,Medium,Dynamic Programming
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle/,Hard,Dynamic Programming
221,Maximal Square,https://leetcode.com/problems/maximal-square/,Medium,Dynamic Programming
84,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,Dynamic Programming
3393,Count Paths With the Given XOR Value,https://leetcode.com/problems/count-paths-with-the-given-xor-value/,Medium,Dynamic Programming
2597,The Number of Beautiful Subsets,https://leetcode.com/problems/the-number-of-beautiful-subsets/,Medium,Dynamic Programming
3085,Minimum Deletions to Make String K-Special,https://leetcode.com/problems/minimum-deletions-to-make-string-k-special/,Medium,Dynamic Programming
837,New 21 Game,https://leetcode.com/problems/new-21-game/,Medium,Dynamic Programming
808,Soup Servings,https://leetcode.com/problems/soup-servings/,Medium,Dynamic Programming
407,Trapping Rain Water II,https://leetcode.com/problems/trapping-rain-water-ii/,Hard,Dynamic Programming
1235,Maximum Profit in Job Scheduling,https://leetcode.com/problems/maximum-profit-in-job-scheduling/,Hard,Dynamic Programming
1547,Minimum Cost to Cut a Stick,https://leetcode.com/problems/minimum-cost-to-cut-a-stick/,Hard,Dynamic Programming
664,Strange Printer,https://leetcode.com/problems/strange-printer/,Hard,Dynamic Programming
1751,Maximum Number of Events That Can Be Attended II,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended-ii/,Hard,Dynamic Programming
920,Number of Music Playlists,https://leetcode.com/problems/number-of-music-playlists/,Hard,Dynamic Programming
1312,Minimum Insertion Steps to Make a String Palindrome,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome/,Hard,Dynamic Programming
552,Student Attendance Record II,https://leetcode.com/problems/student-attendance-record-ii/,Hard,Dynamic Programming
1575,Count All Possible Routes,https://leetcode.com/problems/count-all-possible-routes/,Hard,Dynamic Programming
403,Frog Jump,https://leetcode.com/problems/frog-jump/,Hard,Dynamic Programming
3041,Maximize Consecutive Elements in an Array After Modification,https://leetcode.com/problems/maximize-consecutive-elements-in-an-array-after-modification/,Hard,Dynamic Programming
1335,Minimum Difficulty of a Job Schedule,https://leetcode.com/problems/minimum-difficulty-of-a-job-schedule/,Hard,Dynamic Programming
1416,Restore The Array,https://leetcode.com/problems/restore-the-array/,Hard,Dynamic Programming
2218,Maximum Value of K Coins From Piles,https://leetcode.com/problems/maximum-value-of-k-coins-from-piles/,Hard,Dynamic Programming
879,Profitable Schemes,https://leetcode.com/problems/profitable-schemes/,Hard,Dynamic Programming
1463,Cherry Pickup II,https://leetcode.com/problems/cherry-pickup-ii/,Hard,Dynamic Programming
87,Scramble String,https://leetcode.com/problems/scramble-string/,Hard,Dynamic Programming
834,Sum of Distances in Tree,https://leetcode.com/problems/sum-of-distances-in-tree/,Hard,Dynamic Programming
1639,Number of Ways to Form a Target String Given a Dictionary,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary/,Hard,Dynamic Programming
3351,Sum of Good Subsequences,https://leetcode.com/problems/sum-of-good-subsequences/,Hard,Dynamic Programming
3367,Maximize Sum of Weights after Edge Removals,https://leetcode.com/problems/maximize-sum-of-weights-after-edge-removals/,Hard,Dynamic Programming
1444,Number of Ways of Cutting a Pizza,https://leetcode.com/problems/number-of-ways-of-cutting-a-pizza/,Hard,Dynamic Programming
2328,Number of Increasing Paths in a Grid,https://leetcode.com/problems/number-of-increasing-paths-in-a-grid/,Hard,Dynamic Programming
629,K Inverse Pairs Array,https://leetcode.com/problems/k-inverse-pairs-array/,Hard,Dynamic Programming
3373,Maximize the Number of Target Nodes After Connecting Trees II,https://leetcode.com/problems/maximize-the-number-of-target-nodes-after-connecting-trees-ii/,Hard,Dynamic Programming
446,Arithmetic Slices II - Subsequence,https://leetcode.com/problems/arithmetic-slices-ii-subsequence/,Hard,Dynamic Programming
1125,Smallest Sufficient Team,https://leetcode.com/problems/smallest-sufficient-team/,Hard,Dynamic Programming
3213,Construct String with Minimum Cost,https://leetcode.com/problems/construct-string-with-minimum-cost/,Hard,Dynamic Programming
1799,Maximize Score After N Operations,https://leetcode.com/problems/maximize-score-after-n-operations/,Hard,Dynamic Programming
3098,Find the Sum of Subsequence Powers,https://leetcode.com/problems/find-the-sum-of-subsequence-powers/,Hard,Dynamic Programming
2655,Subsequence With the Minimum Score,https://leetcode.com/problems/find-the-minimum-score-of-a-subsequence/,Hard,Dynamic Programming
1187,Make Array Strictly Increasing,https://leetcode.com/problems/make-array-strictly-increasing/,Hard,Dynamic Programming
3193,Count the Number of Inversions,https://leetcode.com/problems/count-the-number-of-inversions/,Hard,Dynamic Programming
956,Tallest Billboard,https://leetcode.com/problems/tallest-billboard/,Hard,Dynamic Programming
3363,Find the Maximum Number of Fruits Collected,https://leetcode.com/problems/find-the-maximum-number-of-fruits-collected/,Hard,Dynamic Programming
3117,Minimum Sum of Values by Dividing Array,https://leetcode.com/problems/minimum-sum-of-values-by-dividing-array/,Hard,Dynamic Programming
3352,Count K-Reducible Numbers Less Than N,https://leetcode.com/problems/count-k-reducible-numbers-less-than-n/,Hard,Dynamic Programming
3177,Find the Maximum Length of a Good Subsequence II,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-ii/,Hard,Dynamic Programming
3176,Find the Maximum Length of a Good Subsequence I,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-i/,Medium,Dynamic Programming
3082,Find the Sum of the Power of All Subsequences,https://leetcode.com/problems/find-the-sum-of-the-power-of-all-subsequences/,Hard,Dynamic Programming
3130,Find All Possible Stable Binary Arrays II,https://leetcode.com/problems/find-all-possible-stable-binary-arrays-ii/,Hard,Dynamic Programming
3129,Find All Possible Stable Binary Arrays I,https://leetcode.com/problems/find-all-possible-stable-binary-arrays-i/,Medium,Dynamic Programming
3077,Maximum Strength of K Disjoint Subarrays,https://leetcode.com/problems/maximum-strength-of-k-disjoint-subarrays/,Hard,Dynamic Programming
1531,String Compression II,https://leetcode.com/problems/string-compression-ii/,Hard,Dynamic Programming
514,Freedom Trail,https://leetcode.com/problems/freedom-trail/,Hard,Dynamic Programming
3444,Minimum Increments for Target Multiples in an Array,https://leetcode.com/problems/minimum-increments-for-target-multiples-in-an-array/,Hard,Dynamic Programming
3448,Count Substrings Divisible By Last Digit,https://leetcode.com/problems/count-substrings-divisible-by-last-digit/,Hard,Dynamic Programming
873,Length of Longest Fibonacci Subsequence,https://leetcode.com/problems/length-of-longest-fibonacci-subsequence/,Medium,Dynamic Programming
1092,Shortest Common Supersequence,https://leetcode.com/problems/shortest-common-supersequence/,Hard,Dynamic Programming
3469,Find Minimum Cost to Remove Array Elements,https://leetcode.com/problems/find-minimum-cost-to-remove-array-elements/,Medium,Dynamic Programming
3472,Longest Palindromic Subsequence After at Most K Operations,https://leetcode.com/problems/longest-palindromic-subsequence-after-at-most-k-operations/,Medium,Dynamic Programming
3473,Sum of K Subarrays With Length at Least M,https://leetcode.com/problems/sum-of-k-subarrays-with-length-at-least-m/,Medium,Dynamic Programming
463,Island Perimeter,https://leetcode.com/problems/island-perimeter/,Easy,Graph
1791,Find Center of Star Graph,https://leetcode.com/problems/find-center-of-star-graph/,Easy,Graph
1971,Find if Path Exists in Graph,https://leetcode.com/problems/find-if-path-exists-in-graph/,Easy,Graph
997,Find the Town Judge,https://leetcode.com/problems/find-the-town-judge/,Easy,Graph
785,Is Graph Bipartite,https://leetcode.com/problems/is-graph-bipartite/,Medium,Graph
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,Graph
547,Number of Provinces,https://leetcode.com/problems/number-of-provinces/,Medium,Graph
207,Course Schedule,https://leetcode.com/problems/course-schedule/,Medium,Graph
802,Find Eventual Safe States,https://leetcode.com/problems/find-eventual-safe-states/,Medium,Graph
787,Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/,Medium,Graph
133,Clone Graph,https://leetcode.com/problems/clone-graph/,Medium,Graph
752,Open the Lock,https://leetcode.com/problems/open-the-lock/,Medium,Graph
684,Redundant Connection,https://leetcode.com/problems/redundant-connection/,Medium,Graph
934,Shortest Bridge,https://leetcode.com/problems/shortest-bridge/,Medium,Graph
1162,As Far from Land as Possible,https://leetcode.com/problems/as-far-from-land-as-possible/,Medium,Graph
2385,Amount of Time for Binary Tree to Be Infected,https://leetcode.com/problems/amount-of-time-for-binary-tree-to-be-infected/,Medium,Graph
2492,Minimum Score of a Path Between Two Cities,https://leetcode.com/problems/minimum-score-of-a-path-between-two-cities/,Medium,Graph
3377,Digit Operations to Make Two Integers Equal,https://leetcode.com/problems/digit-operations-to-make-two-integers-equal/,Medium,Graph
3372,Maximize the Number of Target Nodes After Connecting Trees I,https://leetcode.com/problems/maximize-the-number-of-target-nodes-after-connecting-trees-i/,Medium,Graph
1319,Number of Operations to Make Network Connected,https://leetcode.com/problems/number-of-operations-to-make-network-connected/,Medium,Graph
2285,Maximum Total Importance of Roads,https://leetcode.com/problems/maximum-total-importance-of-roads/,Medium,Graph
2316,Count Unreachable Pairs of Nodes in an Undirected Graph,https://leetcode.com/problems/count-unreachable-pairs-of-nodes-in-an-undirected-graph/,Medium,Graph
1254,Number of Closed Islands,https://leetcode.com/problems/number-of-closed-islands/,Medium,Graph
2812,Find the Safest Path in a Grid,https://leetcode.com/problems/find-the-safest-path-in-a-grid/,Medium,Graph
310,Minimum Height Trees,https://leetcode.com/problems/minimum-height-trees/,Medium,Graph
909,Snakes and Ladders,https://leetcode.com/problems/snakes-and-ladders/,Medium,Graph
2192,All Ancestors of a Node in a Directed Acyclic Graph,https://leetcode.com/problems/all-ancestors-of-a-node-in-a-directed-acyclic-graph/,Medium,Graph
399,Evaluate Division,https://leetcode.com/problems/evaluate-division/,Medium,Graph
3243,Shortest Distance After Road Addition Queries I,https://leetcode.com/problems/shortest-distance-after-road-addition-queries-i/,Medium,Graph
3244,Shortest Distance After Road Addition Queries II,https://leetcode.com/problems/shortest-distance-after-road-addition-queries-ii/,Hard,Graph
3067,Count Pairs of Connectable Servers in a Weighted Tree Network,https://leetcode.com/problems/count-pairs-of-connectable-servers-in-a-weighted-tree-network/,Medium,Graph
1466,Reorder Routes to Make All Paths Lead to the City Zero,https://leetcode.com/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero/,Medium,Graph
1992,Find All Groups of Farmland,https://leetcode.com/problems/find-all-groups-of-farmland/,Medium,Graph
1743,Restore the Array From Adjacent Pairs,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs/,Medium,Graph
2101,Detonate the Maximum Bombs,https://leetcode.com/problems/detonate-the-maximum-bombs/,Medium,Graph
3112,Minimum Time to Visit Disappearing Nodes,https://leetcode.com/problems/minimum-time-to-visit-disappearing-nodes/,Medium,Graph
2872,Maximum Number of K-Divisible Components,https://leetcode.com/problems/maximum-number-of-k-divisible-components/,Hard,Graph
2290,Minimum Obstacle Removal to Reach Corner,https://leetcode.com/problems/minimum-obstacle-removal-to-reach-corner/,Hard,Graph
2642,Design Graph With Shortest Path Calculator,https://leetcode.com/problems/design-graph-with-shortest-path-calculator/,Hard,Graph
2360,Longest Cycle in a Graph,https://leetcode.com/problems/longest-cycle-in-a-graph/,Hard,Graph
1293,Shortest Path in a Grid with Obstacles Elimination,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination/,Hard,Graph
773,Sliding Puzzle,https://leetcode.com/problems/sliding-puzzle/,Hard,Graph
839,Similar String Groups,https://leetcode.com/problems/similar-string-groups/,Hard,Graph
1579,Remove Max Number of Edges to Keep Graph Fully Traversable,https://leetcode.com/problems/remove-max-number-of-edges-to-keep-graph-fully-traversable/,Hard,Graph
815,Bus Routes,https://leetcode.com/problems/bus-routes/,Hard,Graph
864,Shortest Path to Get All Keys,https://leetcode.com/problems/shortest-path-to-get-all-keys/,Hard,Graph
1697,Checking Existence of Edge Length Limited Paths,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths/,Hard,Graph
2092,Find All People With Secret,https://leetcode.com/problems/find-all-people-with-secret/,Hard,Graph
1970,Last Day Where You Can Still Cross,https://leetcode.com/problems/last-day-where-you-can-still-cross/,Hard,Graph
1857,Largest Color Value in a Directed Graph,https://leetcode.com/problems/largest-color-value-in-a-directed-graph/,Hard,Graph
2709,Greatest Common Divisor Traversal,https://leetcode.com/problems/greatest-common-divisor-traversal/,Hard,Graph
2392,Build a Matrix With Conditions,https://leetcode.com/problems/build-a-matrix-with-conditions/,Hard,Graph
3203,Find Minimum Diameter After Merging Two Trees,https://leetcode.com/problems/find-minimum-diameter-after-merging-two-trees/,Hard,Graph
3108,Minimum Cost Walk in Weighted Graph,https://leetcode.com/problems/minimum-cost-walk-in-weighted-graph/,Hard,Graph
3123,Find Edges in Shortest Paths,https://leetcode.com/problems/find-edges-in-shortest-paths/,Hard,Graph
1489,Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,https://leetcode.com/problems/find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree/,Hard,Graph
2097,Valid Arrangement of Pairs,https://leetcode.com/problems/valid-arrangement-of-pairs/,Hard,Graph
3068,Find the Maximum Sum of Node Values,https://leetcode.com/problems/find-the-maximum-sum-of-node-values/,Hard,Graph
3378,Count Connected Components in LCM Graph,https://leetcode.com/problems/count-connected-components-in-lcm-graph/,Hard,Graph
2115,Find All Possible Recipes from Given Supplies,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies/,Medium,Graph
2685,Count the Number of Complete Components,https://leetcode.com/problems/count-the-number-of-complete-components/,Medium,Graph
1976,Number of Ways to Arrive at Destination,https://leetcode.com/problems/number-of-ways-to-arrive-at-destination/,Medium,Graph
2503,Maximum Number of Points From Grid Queries,https://leetcode.com/problems/maximum-number-of-points-from-grid-queries/,Hard,Graph
2037,Minimum Number of Moves to Seat Everyone,https://leetcode.com/problems/minimum-number-of-moves-to-seat-everyone/,Easy,Greedy
1266,Minimum Time Visiting All Points,https://leetcode.com/problems/minimum-time-visiting-all-points/,Easy,Greedy
409,Longest Palindrome,https://leetcode.com/problems/longest-palindrome/,Easy,Greedy
2591,Distribute Money to Maximum Children,https://leetcode.com/problems/distribute-money-to-maximum-children/,Easy,Greedy
57,Insert Interval,https://leetcode.com/problems/insert-interval/,Medium,Greedy
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,Greedy
452,Minimum Number of Arrows to Burst Balloons,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/,Medium,Greedy
1382,Balance a Binary Search Tree,https://leetcode.com/problems/balance-a-binary-search-tree/,Medium,Greedy
108,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,Easy,Greedy
